pickup_date,trips,revenue
2024-12-25,1,43.2
2024-12-29,1,72.94
2024-12-31,4,64.03
2025-01-01,941,23421.989999999987
2025-01-02,1437,32159.479999999996
2025-01-03,1459,34541.179999999964
2025-01-04,1194,26551.49000000004
2025-01-05,1079,24630.569999999974
2025-01-06,1463,32039.95999999992
2025-01-07,1554,34727.70999999989
2025-01-08,1569,35036.98999999996
2025-01-09,1761,39611.95999999988
2025-01-10,1532,34608.219999999936
2025-01-11,1224,27241.019999999964
2025-01-12,1075,24186.80999999998
2025-01-13,1519,33426.739999999896
2025-01-14,1672,36461.13999999988
2025-01-15,1784,39778.42999999995
2025-01-16,1779,40541.429999999935
2025-01-17,1706,38640.41999999998
2025-01-18,1132,26202.759999999984
2025-01-19,1057,22128.840000000022
2025-01-20,1019,22177.80999999999
2025-01-21,1663,36264.509999999886
2025-01-22,1697,37414.109999999986
2025-01-23,1752,38799.04000000001
2025-01-24,1642,37434.14999999996
2025-01-25,1274,29038.989999999983
2025-01-26,1231,27223.549999999956
2025-01-27,1618,37180.269999999946
2025-01-28,1674,37239.58999999997
2025-01-29,1661,37492.03999999988
2025-01-30,1819,40752.94000000002
2025-01-31,1630,36407.919999999955
2025-02-01,1490,32378.31999999995
2025-02-02,1242,31009.53999999994
2025-02-03,1590,35832.97999999995
2025-02-04,1582,35804.459999999955
2025-02-05,1699,37833.32999999995
2025-02-06,1628,37490.50999999996
2025-02-07,1776,41705.69999999992
2025-02-08,1338,28226.849999999995
2025-02-09,1114,26523.249999999993
2025-02-10,1720,38855.46999999997
2025-02-11,1703,37420.76999999991
2025-02-12,1661,37520.19999999999
2025-02-13,1792,38973.38999999994
2025-02-14,1904,42421.77999999995
2025-02-15,1218,27706.87999999997
2025-02-16,1033,25116.31000000002
2025-02-17,1207,26341.649999999947
2025-02-18,1623,35474.439999999944
2025-02-19,1691,37113.78999999993
2025-02-20,1779,40086.889999999985
2025-02-21,1686,37495.34999999994
2025-02-22,1249,28845.359999999997
2025-02-23,1227,29732.569999999952
2025-02-24,1543,34871.76999999999
2025-02-25,1700,38288.470000000045
2025-02-26,1692,37935.64999999994
2025-02-27,1789,41415.36000000003
2025-02-28,1666,38077.09000000004
2025-03-01,1345,29591.67999999998
2025-03-02,1205,29371.59999999997
2025-03-03,1559,34794.119999999944
2025-03-04,1623,36440.36999999991
2025-03-05,1809,39537.45999999996
2025-03-06,1859,44133.95000000002
2025-03-07,1634,36608.29999999989
2025-03-08,1376,32356.67999999998
2025-03-09,1193,28931.839999999982
2025-03-10,1484,34077.95999999996
2025-03-11,1579,37645.299999999974
2025-03-12,1651,37650.45000000002
2025-03-13,1838,43910.12000000005
2025-03-14,1679,39840.67999999992
2025-03-15,1403,35083.31
2025-03-16,1157,29754.299999999963
2025-03-17,1559,36136.029999999984
2025-03-18,1510,36947.62999999994
2025-03-19,1584,37466.84000000006
2025-03-20,1760,40937.16999999997
2025-03-21,1621,38279.88999999994
2025-03-22,1311,32174.57999999998
2025-03-23,1188,30723.500000000007
2025-03-24,1628,37112.599999999904
2025-03-25,1567,36982.759999999915
2025-03-26,1705,39836.12
2025-03-27,1697,41373.64999999989
2025-03-28,1573,37283.33999999998
2025-03-29,1449,37217.17
2025-03-30,1092,27889.100000000002
2025-03-31,1545,35863.749999999905
2025-04-01,5,124.56
